count,angry,disgust,fear,happy,neutral,sad,surprise,temperature,light,genre
13,1,0,0,1,0,0,0,22.59999999999999,249,rock
9,1,0,0,1,0,0,0,21.599999999999994,211,rock
6,1,0,0,1,0,0,0,20.4,180,rock
8,1,0,0,1,0,0,0,24.199999999999985,237,rock
10,1,0,0,1,0,0,0,24.199999999999985,183,rock
6,1,0,0,1,0,0,0,23.799999999999986,212,rock
7,1,0,0,1,0,0,0,24.199999999999985,238,rock
6,1,0,0,1,0,0,0,20.799999999999997,241,rock
17,1,0,0,1,0,0,0,22.59999999999999,207,rock
19,1,0,0,1,0,0,0,24.199999999999985,192,rock
18,1,0,0,1,0,0,0,22.99999999999999,244,rock
16,1,0,0,1,0,0,0,24.199999999999985,209,rock
15,1,0,0,1,0,0,0,23.999999999999986,218,rock
8,1,0,0,1,0,0,0,21.599999999999994,238,rock
15,1,0,0,1,0,0,0,24.199999999999985,234,rock
12,1,0,0,1,0,0,0,24.199999999999985,217,rock
8,1,0,0,1,0,0,0,20.4,234,rock
13,1,0,0,1,0,0,0,21.599999999999994,228,rock
6,1,0,0,1,0,0,0,22.199999999999992,254,rock
6,1,0,0,1,0,0,0,22.79999999999999,231,rock
16,1,0,0,1,0,0,0,23.999999999999986,229,rock
7,1,0,0,1,0,0,0,20.999999999999996,189,rock
18,1,0,0,1,0,0,0,21.399999999999995,181,rock
17,1,0,0,1,0,0,0,22.199999999999992,252,rock
15,1,0,0,1,0,0,0,20.799999999999997,186,rock
7,1,0,0,1,0,0,0,22.39999999999999,239,rock
14,1,0,0,1,0,0,0,22.59999999999999,192,rock
6,1,0,0,1,0,0,0,21.599999999999994,200,rock
10,1,0,0,1,0,0,0,21.799999999999994,190,rock
19,1,0,0,1,0,0,0,21.399999999999995,237,rock
13,1,0,0,1,0,0,0,22.199999999999992,180,rock
19,1,0,0,1,0,0,0,21.199999999999996,220,rock
7,1,0,0,1,0,0,0,21.199999999999996,244,rock
9,1,0,0,1,0,0,0,22.199999999999992,196,rock
8,1,0,0,1,0,0,0,20.799999999999997,194,rock
19,1,0,0,1,0,0,0,23.799999999999986,250,rock
