count,angry,disgust,fear,happy,neutral,sad,surprise,temperature,light,genre
1,0,0,0,0,0,0,1,28.8,94,pop
12,1,0,0,0,0,0,0,21.74,133,metal
12,0,0,0,0,1,0,0,17.99,171,jazz
8,1,0,0,0,0,0,0,20.86,127,metal
3,0,0,0,1,0,0,0,17.85,145,pop
12,0,0,1,0,0,0,0,22.16,161,rock
1,0,0,0,0,0,1,0,23.31,196,dark ambient
13,0,1,0,0,0,0,0,20.88,170,rock
17,0,0,0,0,0,1,0,20.32,31,dark ambient
16,0,0,0,0,0,1,0,18.72,173,dark ambient
3,0,1,0,0,0,0,0,29.02,143,rock
19,0,0,0,0,1,0,0,25.51,183,jazz
19,0,0,0,0,1,0,0,24.54,190,jazz
7,1,0,0,0,0,0,0,28.12,150,metal
1,0,0,1,0,0,0,0,26.47,117,dark ambient
4,1,0,0,0,0,0,0,28.21,109,metal
17,0,1,0,0,0,0,0,29.1,127,metal
9,0,0,0,0,0,1,0,20.32,201,classical
20,0,0,0,1,0,0,0,24.61,209,pop
5,0,0,0,0,1,0,0,26.3,146,classical
10,1,0,0,0,0,0,0,17.64,139,metal
5,0,0,0,1,0,0,0,19.47,181,pop
16,0,0,0,0,0,1,0,24.8,167,dark ambient
2,0,0,0,1,0,0,0,29.95,102,pop
8,1,0,0,0,0,0,0,20.09,96,metal
7,0,0,0,0,0,1,0,20.89,166,dark ambient
12,0,0,0,0,1,0,0,27.34,109,jazz
1,1,0,0,0,0,0,0,25.29,193,metal
10,0,0,1,0,0,0,0,22.93,88,rock
10,0,0,0,0,0,1,0,24.54,127,dark ambient
9,0,0,1,0,0,0,0,22.92,127,dark ambient
6,0,0,0,0,1,0,0,21.16,58,classical
13,1,0,0,0,0,0,0,29.54,33,metal
17,0,0,0,0,0,0,1,26.51,36,electronic
20,0,0,0,0,0,1,0,27.54,50,dark ambient
16,0,0,0,0,0,1,0,21.8,108,dark ambient
10,1,0,0,0,0,0,0,19.47,108,metal
10,0,0,0,0,1,0,0,24.46,213,jazz
7,0,0,0,0,1,0,0,21.36,52,jazz
19,0,0,0,0,1,0,0,29.31,167,jazz
3,0,0,0,0,0,0,1,24.13,128,pop
2,0,0,0,1,0,0,0,20.92,72,pop
10,1,0,0,0,0,0,0,25.54,68,metal
20,0,0,1,0,0,0,0,17.48,102,rock
14,1,0,0,0,0,0,0,28.69,155,metal
4,0,0,0,0,0,0,1,23.52,108,pop
14,0,0,0,0,1,0,0,19.62,215,jazz
1,0,0,0,0,1,0,0,29.54,42,classical
17,0,0,1,0,0,0,0,26.67,41,rock
18,0,0,0,0,1,0,0,22.69,105,jazz
9,0,0,0,1,0,0,0,27.71,150,pop
6,0,0,0,0,1,0,0,23.8,188,classical
19,0,0,0,0,0,1,0,27.4,215,classical
4,0,0,0,0,0,1,0,22.08,58,dark ambient
10,0,0,1,0,0,0,0,27.32,218,rock
6,1,0,0,0,0,0,0,18.97,41,metal
19,1,0,0,0,0,0,0,22.78,130,metal
3,0,0,0,1,0,0,0,28.55,65,pop
18,0,0,0,1,0,0,0,25.86,82,electronic
15,0,0,0,0,1,0,0,21.52,196,jazz
14,0,0,0,0,0,0,1,25.72,170,electronic
19,1,0,0,0,0,0,0,23.42,92,metal
9,0,0,1,0,0,0,0,29.63,82,dark ambient
12,0,0,0,0,0,1,0,23.29,156,dark ambient
10,0,1,0,0,0,0,0,29.55,205,rock
17,0,1,0,0,0,0,0,18.51,73,rock
19,0,0,0,1,0,0,0,28.93,192,electronic
8,0,0,0,0,0,0,1,29.87,126,electronic
18,0,1,0,0,0,0,0,17.61,131,rock
7,0,0,0,0,0,1,0,26.92,203,classical
19,0,0,0,0,0,1,0,27.71,218,classical
12,1,0,0,0,0,0,0,21.76,66,metal
2,0,0,0,0,0,0,1,29.58,163,pop
19,0,0,0,0,0,0,1,25.04,176,electronic
7,0,0,0,0,0,1,0,19.77,36,dark ambient
12,0,0,0,1,0,0,0,23.32,37,electronic
5,0,0,0,0,1,0,0,18.08,96,classical
11,0,0,0,1,0,0,0,21.99,74,electronic
6,0,0,0,1,0,0,0,21.32,99,pop
8,1,0,0,0,0,0,0,29.37,57,metal
4,0,0,0,0,0,1,0,17.31,161,dark ambient
11,1,0,0,0,0,0,0,21.73,70,metal
16,0,0,1,0,0,0,0,20.62,106,rock
3,0,0,0,0,1,0,0,26.3,149,classical
9,0,0,0,0,1,0,0,28.72,52,jazz
8,0,0,0,0,1,0,0,26.67,141,jazz
14,0,0,0,1,0,0,0,18.21,46,electronic
13,0,0,0,1,0,0,0,22.92,171,electronic
6,0,1,0,0,0,0,0,20.88,45,rock
8,0,0,0,0,0,1,0,24.25,161,dark ambient
12,0,0,0,0,0,1,0,24.31,164,dark ambient
4,0,0,0,1,0,0,0,28.27,103,pop
4,0,0,0,0,1,0,0,20.55,146,classical
18,0,0,0,0,1,0,0,26.39,205,jazz
20,0,0,0,0,0,0,1,26.62,141,electronic
2,1,0,0,0,0,0,0,21.27,160,metal
17,0,0,1,0,0,0,0,28.86,156,rock
11,0,0,1,0,0,0,0,29.18,131,rock
5,1,0,0,0,0,0,0,21.33,103,metal
19,0,0,0,0,1,0,0,27.98,146,jazz
11,1,0,0,0,0,0,0,29.45,133,metal
1,0,0,0,0,1,0,0,28.73,117,classical
16,0,1,0,0,0,0,0,26.64,187,metal
7,0,0,0,0,0,1,0,27.68,146,dark ambient
5,0,0,1,0,0,0,0,17.49,131,dark ambient
12,0,0,0,0,1,0,0,19.94,158,jazz
9,0,0,1,0,0,0,0,17.78,196,dark ambient
1,0,1,0,0,0,0,0,20.81,66,rock
11,0,0,1,0,0,0,0,21.08,192,rock
13,0,1,0,0,0,0,0,23.29,210,metal
16,0,0,0,1,0,0,0,28.53,138,electronic
5,0,0,0,0,1,0,0,26.59,104,classical
5,0,0,0,0,1,0,0,26.61,160,classical
10,0,0,0,0,0,1,0,22.4,142,dark ambient
3,0,0,0,0,0,1,0,28.28,77,dark ambient
6,0,1,0,0,0,0,0,29.21,110,rock
2,0,0,1,0,0,0,0,17.38,61,dark ambient
2,0,0,0,0,0,1,0,23.14,153,dark ambient
5,0,0,0,0,0,0,1,27.52,69,pop
15,1,0,0,0,0,0,0,19.97,170,metal
10,1,0,0,0,0,0,0,23.67,208,rock
14,0,0,0,0,0,0,1,18.31,169,electronic
19,1,0,0,0,0,0,0,18.23,151,metal
5,1,0,0,0,0,0,0,22.24,62,metal
19,0,0,1,0,0,0,0,17.72,145,rock
7,0,0,0,1,0,0,0,23.18,126,pop
15,0,0,0,1,0,0,0,19.48,67,electronic
2,0,0,0,1,0,0,0,19.9,124,pop
15,1,0,0,0,0,0,0,29.63,208,rock
2,0,1,0,0,0,0,0,28.8,126,rock
1,0,0,0,0,0,0,1,26.94,90,pop
3,1,0,0,0,0,0,0,24.94,37,metal
20,1,0,0,0,0,0,0,24.94,171,metal
13,0,0,0,1,0,0,0,19.96,196,pop
11,0,0,0,1,0,0,0,26.18,129,electronic
12,0,1,0,0,0,0,0,25.83,178,metal
16,0,0,0,0,1,0,0,17.64,205,jazz
9,0,0,0,1,0,0,0,21.88,138,pop
20,0,0,0,1,0,0,0,19.47,107,electronic
14,0,0,0,1,0,0,0,28.72,217,pop
10,1,0,0,0,0,0,0,26.36,85,metal
7,0,0,0,0,0,0,1,18.57,161,electronic
18,0,0,0,1,0,0,0,23.55,92,electronic
4,0,0,0,0,0,0,1,18.16,52,pop
18,1,0,0,0,0,0,0,26.88,90,metal
18,0,0,1,0,0,0,0,17.88,74,rock
7,0,0,0,1,0,0,0,21.41,203,pop
4,0,0,0,0,0,1,0,26.96,82,dark ambient
9,0,0,0,0,1,0,0,25.6,115,jazz
7,0,0,0,0,0,1,0,24.58,172,dark ambient
11,0,0,0,1,0,0,0,28.67,70,electronic
1,0,0,1,0,0,0,0,27.39,58,dark ambient
18,0,0,0,0,1,0,0,18.08,109,jazz
12,0,1,0,0,0,0,0,26.18,103,metal
6,0,0,0,0,1,0,0,29.67,117,classical
12,1,0,0,0,0,0,0,29.22,183,metal
5,0,1,0,0,0,0,0,19.33,77,rock
11,0,0,0,0,0,1,0,18.13,218,classical
10,0,0,1,0,0,0,0,26.18,125,rock
3,0,0,0,0,1,0,0,20.62,100,classical
18,0,1,0,0,0,0,0,20.94,116,rock
17,0,0,0,0,0,1,0,20.93,191,dark ambient
10,0,1,0,0,0,0,0,22.41,45,rock
20,0,0,0,0,0,1,0,28.37,132,dark ambient
17,0,1,0,0,0,0,0,24.84,48,metal
4,0,0,0,0,0,1,0,17.61,103,dark ambient
14,0,0,0,0,0,1,0,18.95,58,dark ambient
12,1,0,0,0,0,0,0,22.44,94,metal
20,1,0,0,0,0,0,0,20.34,172,metal
4,1,0,0,0,0,0,0,17.56,48,metal
18,0,0,0,0,0,1,0,17.81,156,dark ambient
13,0,0,0,1,0,0,0,22.12,197,pop
14,0,0,0,0,0,1,0,21.95,84,dark ambient
9,0,0,0,0,1,0,0,22.31,80,jazz
3,1,0,0,0,0,0,0,22.41,129,metal
20,0,0,0,0,0,0,1,28.02,151,electronic
10,0,1,0,0,0,0,0,20.5,113,rock
10,0,0,1,0,0,0,0,22.11,159,rock
16,0,0,0,1,0,0,0,24.26,190,electronic
17,1,0,0,0,0,0,0,21.74,58,metal
5,0,0,0,0,1,0,0,20.55,58,classical
18,0,0,0,0,0,0,1,22.44,90,electronic
16,0,0,0,0,0,1,0,26.76,174,dark ambient
16,0,1,0,0,0,0,0,21.76,191,rock
5,0,0,1,0,0,0,0,24.84,184,dark ambient
6,0,0,0,0,0,1,0,26.34,153,dark ambient
6,0,0,0,0,0,1,0,29.54,201,classical
13,0,0,0,0,0,1,0,17.98,126,dark ambient
15,0,0,0,0,0,1,0,22.68,88,dark ambient
9,0,0,0,1,0,0,0,24.87,75,pop
20,1,0,0,0,0,0,0,29.72,194,metal
14,0,0,0,1,0,0,0,29.63,116,electronic
20,0,0,0,0,1,0,0,17.09,148,jazz
20,0,0,0,0,0,1,0,21.58,195,dark ambient
10,0,0,1,0,0,0,0,22.8,105,rock
11,0,1,0,0,0,0,0,17.71,139,rock
12,0,0,0,1,0,0,0,27.39,210,pop
8,0,0,0,0,1,0,0,23.8,177,jazz
15,0,0,0,0,0,1,0,27.54,183,dark ambient
7,0,0,1,0,0,0,0,28.83,50,dark ambient
11,1,0,0,0,0,0,0,18.82,96,metal
13,0,0,0,0,0,0,1,21.8,104,electronic
8,0,0,1,0,0,0,0,20.26,214,dark ambient
3,0,0,0,0,0,1,0,25.23,139,dark ambient
9,0,0,0,1,0,0,0,17.57,118,pop
16,0,1,0,0,0,0,0,23.25,54,metal
1,0,0,1,0,0,0,0,23.29,219,dark ambient
3,0,0,0,1,0,0,0,25.13,117,pop
10,0,0,0,1,0,0,0,18.37,183,pop
9,1,0,0,0,0,0,0,21.47,45,metal
6,0,0,1,0,0,0,0,22.51,200,dark ambient
19,0,0,0,1,0,0,0,26.67,176,electronic
20,0,1,0,0,0,0,0,24.97,131,metal
16,0,0,1,0,0,0,0,17.64,31,rock
15,0,0,0,0,1,0,0,21.16,45,jazz
4,0,0,1,0,0,0,0,28.45,139,dark ambient
5,0,0,0,0,1,0,0,17.84,149,classical
3,1,0,0,0,0,0,0,25.83,64,metal
12,0,0,0,1,0,0,0,29.87,205,pop
6,0,0,0,1,0,0,0,28.51,99,pop
13,0,0,1,0,0,0,0,20.41,37,rock
8,0,1,0,0,0,0,0,18.45,151,rock
15,0,0,1,0,0,0,0,24.95,83,rock
